"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2025-03-11 00:18:25","395321357","FDUSDUSDT","Limit","BUY","0.9979","10000FDUSD","2025-03-11 00:25:27","10000FDUSD","0.9979","9979USDT","FILLED"
"2025-03-11 00:16:32","84402331","RUNEFDUSD","Limit","BUY","1.041","500RUNE","2025-03-11 00:23:22","500RUNE","1.041","520.5FDUSD","FILLED"
"2025-03-10 23:31:57","2735734939","SOLFDUSD","Limit","BUY","119.23","30SOL","2025-03-10 23:31:58","30SOL","119.23","3576.9FDUSD","FILLED"
"2025-03-10 23:30:39","2735715587","SOLFDUSD","Limit","BUY","119.19","40SOL","2025-03-10 23:31:42","40SOL","119.19","4767.6FDUSD","FILLED"
"2025-03-10 23:29:36","2735704895","SOLFDUSD","Limit","BUY","116.66","40SOL","2025-03-11 00:23:18","40SOL","116.66","4666.4FDUSD","FILLED"
"2025-03-10 23:27:09","31932713","ARFDUSD","Limit","BUY","5.55","800AR","2025-03-11 00:28:42","800AR","5.55","4440FDUSD","FILLED"
"2025-03-10 23:17:39","97329056","POLFDUSD","Limit","BUY","0.2062","5000POL","2025-03-10 23:18:12","5000POL","0.2062","1031FDUSD","FILLED"
"2025-03-10 23:12:15","31932481","ARFDUSD","Limit","BUY","5.7","300AR","2025-03-10 23:16:15","300AR","5.7","1710FDUSD","FILLED"
"2025-03-10 23:07:24","31932391","ARFDUSD","Limit","BUY","5.77","200AR","2025-03-10 23:07:24","200AR","5.77","1154FDUSD","FILLED"
"2025-03-10 23:02:57","395299517","FDUSDUSDT","Limit","BUY","0.998","10000FDUSD","2025-03-10 23:02:57","10000FDUSD","0.998","9980USDT","FILLED"
"2025-03-10 23:01:14","395298990","FDUSDUSDT","Limit","BUY","0.998","10000FDUSD","2025-03-10 23:01:14","10000FDUSD","0.998","9980USDT","FILLED"
"2025-03-10 22:59:37","6262750498","ETHFDUSD","Limit","BUY","1881.81","4ETH","2025-03-10 23:16:13","4ETH","1881.81","7527.24FDUSD","FILLED"
"2025-03-10 22:57:09","14048326666","BTCFDUSD","Limit","BUY","79555.55","0.1BTC","2025-03-10 23:06:31","0.1BTC","79555.55","7955.555FDUSD","FILLED"
"2025-03-10 22:53:12","1065803160","BNBFDUSD","Limit","BUY","533.55","5BNB","2025-03-10 23:19:13","5BNB","533.55","2667.75FDUSD","FILLED"
"2025-03-10 22:50:25","395295763","FDUSDUSDT","Limit","BUY","0.9979","50000FDUSD","2025-03-11 00:17:43","0FDUSD","0","0USDT","CANCELED"
"2025-03-10 22:43:21","395292134","FDUSDUSDT","Limit","BUY","0.998","10000FDUSD","2025-03-10 22:43:21","10000FDUSD","0.998","9980USDT","FILLED"
"2025-03-10 22:41:45","395291843","FDUSDUSDT","Limit","BUY","0.9979","10000FDUSD","2025-03-10 23:02:30","0FDUSD","0","0USDT","CANCELED"
"2025-03-10 22:40:44","395291613","FDUSDUSDT","Limit","BUY","0.998","10000FDUSD","2025-03-10 22:40:44","10000FDUSD","0.998","9980USDT","FILLED"
"2025-03-10 22:40:20","395291558","FDUSDUSDT","Limit","BUY","0.9977","10000FDUSD","2025-03-10 23:00:12","0FDUSD","0","0USDT","CANCELED"
"2025-03-10 22:39:37","395291448","FDUSDUSDT","Limit","BUY","0.9978","10000FDUSD","2025-03-11 00:23:44","0FDUSD","0","0USDT","CANCELED"
